,word,frequency,per_million,doc_freq,doc_percentage
601,tiny,45,15.77133388,41,0.494810524
602,iconic,45,15.77133388,39,0.470673425
605,dependent,45,15.77133388,41,0.494810524
606,pharmaceutical,45,15.77133388,40,0.48274197399999996
607,stark,44,15.4208598,43,0.518947622
609,20th,44,15.4208598,39,0.470673425
610,bottom,44,15.4208598,40,0.48274197399999996
611,ultimate,44,15.4208598,43,0.518947622
612,colonial,44,15.4208598,35,0.42239922799999996
614,eager,44,15.4208598,42,0.506879073
615,loud,44,15.4208598,41,0.494810524
616,record,44,15.4208598,41,0.494810524
617,regulatory,44,15.4208598,34,0.41033067799999995
621,visible,43,15.07038571,41,0.494810524
623,innovative,43,15.07038571,39,0.470673425
625,horrible,42,14.71991162,40,0.48274197399999996
627,saudi,42,14.71991162,25,0.301713734
631,steady,42,14.71991162,40,0.48274197399999996
632,militant,42,14.71991162,32,0.38619358
633,continuous,42,14.71991162,35,0.42239922799999996
634,narrow,41,14.36943754,38,0.458604876
635,government,41,14.36943754,41,0.494810524
636,like,41,14.36943754,41,0.494810524
637,haitian,41,14.36943754,22,0.26550808600000003
638,silent,41,14.36943754,39,0.470673425
640,autonomous,41,14.36943754,28,0.33791938200000005
641,tear,41,14.36943754,32,0.38619358
642,sovereign,41,14.36943754,32,0.38619358
644,intellectual,41,14.36943754,24,0.289645185
645,resilient,40,14.01896345,37,0.44653632600000004
646,imminent,40,14.01896345,36,0.43446777700000005
649,unexpected,40,14.01896345,39,0.470673425
650,judicial,40,14.01896345,34,0.41033067799999995
651,festive,39,13.66848937,34,0.41033067799999995
652,committed,39,13.66848937,37,0.44653632600000004
654,iraqi,39,13.66848937,26,0.313782283
656,plenary,39,13.66848937,23,0.277576635
657,italian,38,13.31801528,33,0.39826212899999996
659,racist,38,13.31801528,26,0.313782283
660,explosive,38,13.31801528,36,0.43446777700000005
661,brief,38,13.31801528,36,0.43446777700000005
662,triple,38,13.31801528,28,0.33791938200000005
663,rough,38,13.31801528,32,0.38619358
664,swift,38,13.31801528,37,0.44653632600000004
665,risky,38,13.31801528,33,0.39826212899999996
667,hybrid,38,13.31801528,30,0.36205648100000004
668,brazilian,38,13.31801528,33,0.39826212899999996
669,mid,38,13.31801528,35,0.42239922799999996
670,overnight,37,12.96754119,34,0.41033067799999995
671,vigilant,37,12.96754119,33,0.39826212899999996
672,asymptomatic,37,12.96754119,33,0.39826212899999996
673,typical,37,12.96754119,36,0.43446777700000005
674,torrential,37,12.96754119,30,0.36205648100000004
676,fragile,37,12.96754119,35,0.42239922799999996
677,relative,37,12.96754119,33,0.39826212899999996
678,neutral,37,12.96754119,33,0.39826212899999996
679,valid,37,12.96754119,31,0.37412503
680,sri,37,12.96754119,20,0.24137098699999998
681,taiwanese,37,12.96754119,18,0.217233888
682,sweeping,36,12.61706711,35,0.42239922799999996
685,loyal,36,12.61706711,27,0.325850833
686,steep,36,12.61706711,35,0.42239922799999996
689,valuable,36,12.61706711,33,0.39826212899999996
691,extremist,36,12.61706711,30,0.36205648100000004
692,problematic,36,12.61706711,32,0.38619358
694,investigative,36,12.61706711,33,0.39826212899999996
696,roman,36,12.61706711,22,0.26550808600000003
697,preliminary,35,12.26659302,34,0.41033067799999995
700,congressional,35,12.26659302,33,0.39826212899999996
701,shocked,35,12.26659302,32,0.38619358
702,just,35,12.26659302,33,0.39826212899999996
703,reliable,35,12.26659302,33,0.39826212899999996
704,sized,35,12.26659302,31,0.37412503
705,united,35,12.26659302,32,0.38619358
706,delicate,35,12.26659302,34,0.41033067799999995
707,electronic,35,12.26659302,28,0.33791938200000005
708,compulsory,35,12.26659302,31,0.37412503
709,paralympic,35,12.26659302,27,0.325850833
710,damaging,34,11.91611893,30,0.36205648100000004
711,outstanding,34,11.91611893,33,0.39826212899999996
712,thankful,34,11.91611893,30,0.36205648100000004
713,thorough,34,11.91611893,31,0.37412503
717,drastic,34,11.91611893,30,0.36205648100000004
718,respiratory,34,11.91611893,25,0.301713734
719,lone,34,11.91611893,23,0.277576635
720,sophisticated,34,11.91611893,30,0.36205648100000004
721,reluctant,34,11.91611893,31,0.37412503
