,word,frequency,per_million,doc_freq,doc_percentage
3739,franchise,14,4.906637208151467,14.0,0.1689596910451364
3740,extreme,14,4.906637208151467,12.0,0.1448225923244026
3741,moise,14,4.906637208151467,7.0,0.0844798455225682
3743,frequency,14,4.906637208151467,14.0,0.1689596910451364
3745,truce,14,4.906637208151467,13.0,0.1568911416847695
3746,magnet,14,4.906637208151467,7.0,0.0844798455225682
3747,mistrust,14,4.906637208151467,12.0,0.1448225923244026
3748,oasis,14,4.906637208151467,9.0,0.10861694424330197
3749,natal,14,4.906637208151467,9.0,0.10861694424330197
3751,spat,14,4.906637208151467,11.0,0.13275404296403573
3752,glacier,14,4.906637208151467,7.0,0.0844798455225682
3753,macron,14,4.906637208151467,13.0,0.1568911416847695
3754,vigilante,14,4.906637208151467,10.0,0.12068549360366886
3756,lorry,14,4.906637208151467,11.0,0.13275404296403573
3759,councillor,14,4.906637208151467,13.0,0.1568911416847695
3760,mourner,14,4.906637208151467,11.0,0.13275404296403573
3762,reign,14,4.906637208151467,14.0,0.1689596910451364
3768,wikileak,14,4.906637208151467,8.0,0.09654839488293508
3770,dimension,14,4.906637208151467,14.0,0.1689596910451364
3771,dynasty,14,4.906637208151467,12.0,0.1448225923244026
3772,modernization,14,4.906637208151467,12.0,0.1448225923244026
3773,gorilla,14,4.906637208151467,6.0,0.0724112961622013
3776,gomer,14,4.906637208151467,7.0,0.0844798455225682
3777,indian,14,4.906637208151467,13.0,0.1568911416847695
3780,hood,14,4.906637208151467,10.0,0.12068549360366886
3781,x,14,4.906637208151467,11.0,0.13275404296403573
3783,apprehension,14,4.906637208151467,13.0,0.1568911416847695
3785,microplastic,14,4.906637208151467,3.0,0.03620564808110065
3787,deer,14,4.906637208151467,8.0,0.09654839488293508
3789,judo,14,4.906637208151467,8.0,0.09654839488293508
3790,naruto,14,4.906637208151467,12.0,0.1448225923244026
3793,uptake,14,4.906637208151467,11.0,0.13275404296403573
3794,diver,14,4.906637208151467,6.0,0.0724112961622013
3795,freelance,14,4.906637208151467,13.0,0.1568911416847695
3799,jay,14,4.906637208151467,3.0,0.03620564808110065
3801,seo,14,4.906637208151467,6.0,0.0724112961622013
3803,israeli,14,4.906637208151467,12.0,0.1448225923244026
3806,spate,13,4.556163121854934,13.0,0.1568911416847695
3811,inception,13,4.556163121854934,13.0,0.1568911416847695
3812,shaw,13,4.556163121854934,10.0,0.12068549360366886
3815,wreck,13,4.556163121854934,13.0,0.1568911416847695
3818,baptist,13,4.556163121854934,10.0,0.12068549360366886
3825,vector,13,4.556163121854934,10.0,0.12068549360366886
3826,plunge,13,4.556163121854934,13.0,0.1568911416847695
3827,icus,13,4.556163121854934,13.0,0.1568911416847695
3828,jaw,13,4.556163121854934,12.0,0.1448225923244026
3831,cease,13,4.556163121854934,10.0,0.12068549360366886
3833,hip,13,4.556163121854934,10.0,0.12068549360366886
3834,villain,13,4.556163121854934,9.0,0.10861694424330197
3835,dash,13,4.556163121854934,13.0,0.1568911416847695
3836,specific,13,4.556163121854934,13.0,0.1568911416847695
3842,spa,13,4.556163121854934,10.0,0.12068549360366886
3843,gut,13,4.556163121854934,13.0,0.1568911416847695
3844,broker,13,4.556163121854934,11.0,0.13275404296403573
3847,shootout,13,4.556163121854934,9.0,0.10861694424330197
3848,contention,13,4.556163121854934,13.0,0.1568911416847695
3851,print,13,4.556163121854934,12.0,0.1448225923244026
3852,sergeant,13,4.556163121854934,7.0,0.0844798455225682
